UUID;AB_gruppe;adresse;Name;Strasse;Hsnr;Plz;Ort;Info AB
9ae2f1a4-557c-4252-b4b7-d6267e692aed;Gruppe 3, gem. §4 Abs 4 Punkt 3 RV;Abwasserzweckverband Erdinger Moos KöR, Am Isarkanal 1, 85462 Eitting;Abwasserzweckverband Erdinger Moos KöR;Am Isarkanal;1;85462;Eitting;<h3>Abrufberechtigter: </h3><p>Abwasserzweckverband Erdinger Moos KöR<br>Am Isarkanal 1<br>85462 Eitting
b638d262-0567-4064-b68b-bd1953e555f8;Gruppe 3, gem. §4 Abs 4 Punkt 3 RV;Abwasserzweckverband Schmuttertal, Gablinger Str. 19, 86368 Gersthofen;Abwasserzweckverband Schmuttertal;Gablinger Str.;19;86368;Gersthofen;<h3>Abrufberechtigter: </h3><p>Abwasserzweckverband Schmuttertal<br>Gablinger Str. 19<br>86368 Gersthofen
b96557bc-59ee-48ff-ba08-6eab030cafb8;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Advantic GmbH, Vierhörn 2a-b, 23556 Lübeck;#NV;#NV;#NV;#NV;#NV;#NV
7ff32eb8-d8a5-43a3-b77d-cb6cfe8f3dcd;Gruppe 4, gem. §4 Abs 4 Punkt 4 RV;aerogate München Gesellschaft für Luftverkehrs- abfertigungen mbH, Terminalstr. Mitte 10, 85356 München-Flughafen;aerogate München Gesellschaft für Luftverkehrs- abfertigungen mbH;Terminalstr. Mitte;10;85356;München-Flughafen;<h3>Abrufberechtigter: </h3><p>aerogate München Gesellschaft für Luftverkehrs- abfertigungen mbH<br>Terminalstr. Mitte 10<br>85356 München-Flughafen
3413ff9a-2d73-4aea-bf58-7afbd5d74eb3;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Akademie der Bildenden Künste in Nürnberg, Bingstr. 60, 90480 Nürnberg;Akademie der Bildenden Künste in Nürnberg;Bingstr.;60;90480;Nürnberg;<h3>Abrufberechtigter: </h3><p>Akademie der Bildenden Künste in Nürnberg<br>Bingstr. 60<br>90480 Nürnberg
a0ad9baa-927c-47c1-94c6-515afbf8c02f;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Akademie der Bildenden Künste München, Akademiestr. 2-4, 80799 München;Akademie der Bildenden Künste München;Akademiestr.;2;80799;München;<h3>Abrufberechtigter: </h3><p>Akademie der Bildenden Künste München<br>Akademiestr. 2<br>80799 München
065e62d3-a140-4487-99da-5f5ce4fc5414;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Akademie der Sozialverwaltung, Im Hag 14, 83512 Wasserburg a.Inn;Akademie der Sozialverwaltung;Im Hag;14;83512;Wasserburg a.Inn;<h3>Abrufberechtigter: </h3><p>Akademie der Sozialverwaltung<br>Im Hag 14<br>83512 Wasserburg a.Inn
ab47f0bb-da46-434d-9745-e14832c066f2;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Akademie für Lehrerfortbildung und Personalführung Dillingen a.d.Donau, Kardinal-von-Waldburg-Straße 6 - 7, 89407 Dillingen a.d.Donau;Akademie für Lehrerfortbildung und Personalführung Dillingen a.d.Donau;Kardinal-von-Waldburg-Straße;6 - 7;89407;Dillingen a.d.Donau;<h3>Abrufberechtigter: </h3><p>Akademie für Lehrerfortbildung und Personalführung Dillingen a.d.Donau<br>Kardinal-von-Waldburg-Straße 6 - 7<br>89407 Dillingen a.d.Donau
43f8e25a-4c94-4f7a-9b9d-82b9c8a8d1d1;Gruppe 4, gem. §4 Abs 4 Punkt 4 RV;Allresto Flughafen München Hotel und Gaststätten GmbH, Terminalstraße Mitte 18, 85356 München-Flughafen;#NV;#NV;#NV;#NV;#NV;#NV
1b44655d-e926-460f-b36d-189e3bbcf016;fehlende AB;Amberger Congress Centrum, Schießstätteweg 8, 92224 Amberg;Amberger Congress Centrum;Schießstätteweg;8;92224;Amberg;<h3>Abrufberechtigter: </h3><p>Amberger Congress Centrum<br>Schießstätteweg 8<br>92224 Amberg
cf990423-dc04-4f37-80c5-eefe28527a6f;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Amt für Digitalisierung, Breitband und Vermessung Abensberg, Aventinusplatz 6, 93326 Abensberg;Ämt für Digitalisierung, Breitband und Vermessung Abensberg;Aventinusplatz;6;93326;Abensberg;<h3>Abrufberechtigter: </h3><p>Ämt für Digitalisierung, Breitband und Vermessung Abensberg<br>Aventinusplatz 6<br>93326 Abensberg
4a7e0a6e-117d-41ed-b37a-fad6b943b24e;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Amt für Digitalisierung, Breitband und Vermessung Aichach, Münchener Straße 7, 86551 Aichach;Amt für Digitalisierung, Breitband und Vermessung Aichach;Münchener Straße;7;86551;Aichach;<h3>Abrufberechtigter: </h3><p>Amt für Digitalisierung, Breitband und Vermessung Aichach<br>Münchener Straße 7<br>86551 Aichach
5ff58e65-930a-4dc4-acbf-e77d2e7c5c96;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Amt für Digitalisierung, Breitband und Vermessung Amberg, Kirchensteig 1, 92224 Amberg;Amt für Digitalisierung, Breitband und Vermessung Amberg;Kirchensteig;1;92224;Amberg;<h3>Abrufberechtigter: </h3><p>Amt für Digitalisierung, Breitband und Vermessung Amberg<br>Kirchensteig 1<br>92224 Amberg
35dc6af4-1acc-4d12-82e1-ba86f320b4b4;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Amt für Digitalisierung, Breitband und Vermessung Ansbach, Dollmannstraße 56, 91522 Ansbach;Amt für Digitalisierung, Breitband und Vermessung Ansbach;Dollmannstraße;56;91522;Ansbach;<h3>Abrufberechtigter: </h3><p>Amt für Digitalisierung, Breitband und Vermessung Ansbach<br>Dollmannstraße 56<br>91522 Ansbach
452d5247-776b-4b13-ae6d-1e82126c0586;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Amt für Digitalisierung, Breitband und Vermessung Aschaffenburg, Stengerstraße 2, 63741 Aschaffenburg;Amt für Digitalisierung, Breitband und Vermessung Aschaffenburg;Stengerstraße;2;63741;Aschaffenburg;<h3>Abrufberechtigter: </h3><p>Amt für Digitalisierung, Breitband und Vermessung Aschaffenburg<br>Stengerstraße 2<br>63741 Aschaffenburg
79556be3-1ce8-4016-bba9-1bbfb5cef9c5;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Amt für Digitalisierung, Breitband und Vermessung Augsburg, Fronhof 12, 86152 Augsburg;Amt für Digitalisierung, Breitband und Vermessung Augsburg;Fronhof;12;86152;Augsburg;<h3>Abrufberechtigter: </h3><p>Amt für Digitalisierung, Breitband und Vermessung Augsburg<br>Fronhof 12<br>86152 Augsburg
4fbfaa97-db0e-49dd-a5bb-d5c039a73d3f;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Amt für Digitalisierung, Breitband und Vermessung Bad Kissingen, Im Luitpoldpark 1, 97688 Bad Kissingen;Amt für Digitalisierung, Breitband und Vermessung Bad Kissingen;Im Luitpoldpark;1;97688;Bad Kissingen;<h3>Abrufberechtigter: </h3><p>Amt für Digitalisierung, Breitband und Vermessung Bad Kissingen<br>Im Luitpoldpark 1<br>97688 Bad Kissingen
a1af9b73-a5b0-4808-98af-e27f75060198;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Amt für Digitalisierung, Breitband und Vermessung Bamberg, Schranne 3, 96049 Bamberg;Amt für Digitalisierung, Breitband und Vermessung Bamberg;Schranne;3;96049;Bamberg;<h3>Abrufberechtigter: </h3><p>Amt für Digitalisierung, Breitband und Vermessung Bamberg<br>Schranne 3<br>96049 Bamberg
5e7ef341-761d-4a04-977f-16f073d6d133;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Amt für Digitalisierung, Breitband und Vermessung Bayreuth, Wittelsbacherring 15, 95444 Bayreuth;Amt für Digitalisierung, Breitband und Vermessung Bayreuth;Wittelsbacherring;15;95444;Bayreuth;<h3>Abrufberechtigter: </h3><p>Amt für Digitalisierung, Breitband und Vermessung Bayreuth<br>Wittelsbacherring 15<br>95444 Bayreuth
732dda52-2cb0-47ac-b6ca-8e1a0da46273;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Amt für Digitalisierung, Breitband und Vermessung Cham, Ludwigstraße 23, 93413 Cham;Amt für Digitalisierung, Breitband und Vermessung Cham;Ludwigstraße;23;93413;Cham;<h3>Abrufberechtigter: </h3><p>Amt für Digitalisierung, Breitband und Vermessung Cham<br>Ludwigstraße 23<br>93413 Cham
c4a95218-490e-4261-a318-3268578b72ed;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Amt für Digitalisierung, Breitband und Vermessung Coburg, Wettiner Anlage 1, 96450 Coburg;Amt für Digitalisierung, Breitband und Vermessung Coburg;Wettiner Anlage;1;96450;Coburg;<h3>Abrufberechtigter: </h3><p>Amt für Digitalisierung, Breitband und Vermessung Coburg<br>Wettiner Anlage 1<br>96450 Coburg
cc66c674-5f75-453e-9c16-2897b5b72f76;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Amt für Digitalisierung, Breitband und Vermessung Dachau, Krankenhausstraße 9, 85221 Dachau;Amt für Digitalisierung, Breitband und Vermessung Dachau;Krankenhausstraße;9;85221;Dachau;<h3>Abrufberechtigter: </h3><p>Amt für Digitalisierung, Breitband und Vermessung Dachau<br>Krankenhausstraße 9<br>85221 Dachau
bda07732-e44b-4c96-a8f4-f1e2b2d666e4;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Amt für Digitalisierung, Breitband und Vermessung Dillingen a.d.Donau, Königstraße 15, 89407 Dillingen a.d.Donau;Amt für Digitalisierung, Breitband und Vermessung Dillingen a.d.Donau;Königstraße;15;89407;Dillingen a.d.Donau;<h3>Abrufberechtigter: </h3><p>Amt für Digitalisierung, Breitband und Vermessung Dillingen a.d.Donau<br>Königstraße 15<br>89407 Dillingen a.d.Donau
f74eb339-8ce9-4466-a7f3-5c385451536e;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Amt für Digitalisierung, Breitband und Vermessung Donauwörth, Berger Vorstadt 16, 86609 Donauwörth;Amt für Digitalisierung, Breitband und Vermessung Donauwörth;Berger Vorstadt;16;86609;Donauwörth;<h3>Abrufberechtigter: </h3><p>Amt für Digitalisierung, Breitband und Vermessung Donauwörth<br>Berger Vorstadt 16<br>86609 Donauwörth
f987b1d2-d340-4764-938a-c261489c6c71;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Amt für Digitalisierung, Breitband und Vermessung Ebersberg, Dr.-Wintrich-Straße 7, 85560 Ebersberg;Amt für Digitalisierung, Breitband und Vermessung Ebersberg;Dr.-Wintrich-Straße;7;85560;Ebersberg;<h3>Abrufberechtigter: </h3><p>Amt für Digitalisierung, Breitband und Vermessung Ebersberg<br>Dr.-Wintrich-Straße 7<br>85560 Ebersberg
3eb020a3-939a-4112-8465-d797336ffb95;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Amt für Digitalisierung, Breitband und Vermessung Erding, Dorfener Straße 15, 85435 Erding;Amt für Digitalisierung, Breitband und Vermessung Erding;Dorfener Straße;15;85435;Erding;<h3>Abrufberechtigter: </h3><p>Amt für Digitalisierung, Breitband und Vermessung Erding<br>Dorfener Straße 15<br>85435 Erding
542063e3-6d05-43ef-ae10-70c949246ced;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Amt für Digitalisierung, Breitband und Vermessung Erlangen, Nägelsbachstraße 67, 91052 Erlangen;Amt für Digitalisierung, Breitband und Vermessung Erlangen;Nägelsbachstraße;67;91052;Erlangen;<h3>Abrufberechtigter: </h3><p>Amt für Digitalisierung, Breitband und Vermessung Erlangen<br>Nägelsbachstraße 67<br>91052 Erlangen
63c7b2ef-cb9f-4f40-ab74-aa174acad1f0;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Amt für Digitalisierung, Breitband und Vermessung Freilassing, Fürstenweg 19, 83395 Freilassing;Amt für Digitalisierung, Breitband und Vermessung Freilassing;Fürstenweg;19;83395;Freilassing;<h3>Abrufberechtigter: </h3><p>Amt für Digitalisierung, Breitband und Vermessung Freilassing<br>Fürstenweg 19<br>83395 Freilassing
d52c6c65-2fc2-49fb-9b41-c7ad19a47367;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Amt für Digitalisierung, Breitband und Vermessung Freising, Domberg 20, 85354 Freising;Amt für Digitalisierung, Breitband und Vermessung Freising;Domberg;20;85354;Freising;<h3>Abrufberechtigter: </h3><p>Amt für Digitalisierung, Breitband und Vermessung Freising<br>Domberg 20<br>85354 Freising
7549b96e-e516-4b6f-9b6b-831340cb0cf7;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Amt für Digitalisierung, Breitband und Vermessung Freyung, Grafenauer Straße 17, 94078 Freyung;Amt für Digitalisierung, Breitband und Vermessung Freyung;Grafenauer Straße;17;94078;Freyung;<h3>Abrufberechtigter: </h3><p>Amt für Digitalisierung, Breitband und Vermessung Freyung<br>Grafenauer Straße 17<br>94078 Freyung
a103bbfc-b31a-430d-92af-2b6c68b38a94;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Amt für Digitalisierung, Breitband und Vermessung Günzburg, Augsburger Straße 1, 89312 Günzburg;Amt für Digitalisierung, Breitband und Vermessung Günzburg;Augsburger Straße;1;89312;Günzburg;<h3>Abrufberechtigter: </h3><p>Amt für Digitalisierung, Breitband und Vermessung Günzburg<br>Augsburger Straße 1<br>89312 Günzburg
39b45d03-db97-4d96-97b3-9812c94eb562;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Amt für Digitalisierung, Breitband und Vermessung Immenstadt i.Allgäu, Marienplatz 12, 87509 Immenstadt i.Allgäu;Amt für Digitalisierung, Breitband und Vermessung Immenstadt i.Allgäu;Marienplatz;12;87509;Immenstadt i.Allgäu;<h3>Abrufberechtigter: </h3><p>Amt für Digitalisierung, Breitband und Vermessung Immenstadt i.Allgäu<br>Marienplatz 12<br>87509 Immenstadt i.Allgäu
fe787c0d-6a05-4c54-b8c6-16886d586073;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Amt für Digitalisierung, Breitband und Vermessung Ingolstadt, Rechbergstraße 8, 85049 Ingolstadt;Amt für Digitalisierung, Breitband und Vermessung Ingolstadt;Rechbergstraße;8;85049;Ingolstadt;<h3>Abrufberechtigter: </h3><p>Amt für Digitalisierung, Breitband und Vermessung Ingolstadt<br>Rechbergstraße 8<br>85049 Ingolstadt
3050132b-031a-4758-9d64-626e1d7e1642;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Amt für Digitalisierung, Breitband und Vermessung Kulmbach, Georg-Hagen-Straße 17, 95326 Kulmbach;Amt für Digitalisierung, Breitband und Vermessung Kulmbach;Georg-Hagen-Straße;17;95326;Kulmbach;<h3>Abrufberechtigter: </h3><p>Amt für Digitalisierung, Breitband und Vermessung Kulmbach<br>Georg-Hagen-Straße 17<br>95326 Kulmbach
8c840b2b-ec81-4d61-8a51-9d99917bc78d;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Amt für Digitalisierung, Breitband und Vermessung Landau a.d.Isar, Marienplatz 5a, 94405 Landau a.d.Isar;Amt für Digitalisierung, Breitband und Vermessung Landau a.d.Isar;Marienplatz;5a;94405;Landau a.d.Isar;<h3>Abrufberechtigter: </h3><p>Amt für Digitalisierung, Breitband und Vermessung Landau a.d.Isar<br>Marienplatz 5a<br>94405 Landau a.d.Isar
49e15bcb-5ca6-408c-a4c4-93a48c6d4c0d;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Amt für Digitalisierung, Breitband und Vermessung Landsberg am Lech, Roßmarkt 198, 86899 Landsberg am Lech;Amt für Digitalisierung, Breitband und Vermessung Landsberg am Lech;Roßmarkt;198;86899;Landsberg am Lech;<h3>Abrufberechtigter: </h3><p>Amt für Digitalisierung, Breitband und Vermessung Landsberg am Lech<br>Roßmarkt 198<br>86899 Landsberg am Lech
3ec79936-ff63-4f7f-909b-79f6754f431b;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Amt für Digitalisierung, Breitband und Vermessung Landshut, Gestütstraße 10, 84028 Landshut;Amt für Digitalisierung, Breitband und Vermessung Landshut;Gestütstraße;10;84028;Landshut;<h3>Abrufberechtigter: </h3><p>Amt für Digitalisierung, Breitband und Vermessung Landshut<br>Gestütstraße 10<br>84028 Landshut
ec493351-c9a8-4d14-83f9-f5fac038c9f0;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Amt für Digitalisierung, Breitband und Vermessung Lohr a.Main, Erthalstraße 1, 97816 Lohr a.Main;Amt für Digitalisierung, Breitband und Vermessung Lohr a.Main;Erthalstraße;1;97816;Lohr a.Main;<h3>Abrufberechtigter: </h3><p>Amt für Digitalisierung, Breitband und Vermessung Lohr a.Main<br>Erthalstraße 1<br>97816 Lohr a.Main
0dacf5f3-e38f-4de3-8430-1549a55fa205;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Amt für Digitalisierung, Breitband und Vermessung Marktoberdorf, Kurfürstenstraße 19, 87616 Marktoberdorf;Amt für Digitalisierung, Breitband und Vermessung Marktoberdorf;Kurfürstenstraße;19;87616;Marktoberdorf;<h3>Abrufberechtigter: </h3><p>Amt für Digitalisierung, Breitband und Vermessung Marktoberdorf<br>Kurfürstenstraße 19<br>87616 Marktoberdorf
c62ba951-c1bf-4440-a627-f7aaa3f81679;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Amt für Digitalisierung, Breitband und Vermessung Memmingen, Bismarckstraße 1, 87700 Memmingen;Amt für Digitalisierung, Breitband und Vermessung Memmingen;Bismarckstraße;1;87700;Memmingen;<h3>Abrufberechtigter: </h3><p>Amt für Digitalisierung, Breitband und Vermessung Memmingen<br>Bismarckstraße 1<br>87700 Memmingen
1b37576d-78ca-48ea-a381-9f8c71549204;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Amt für Digitalisierung, Breitband und Vermessung Miesbach, Münchner Straße 1, 83714 Miesbach;Amt für Digitalisierung, Breitband und Vermessung Miesbach;Münchner Straße;1;83714;Miesbach;<h3>Abrufberechtigter: </h3><p>Amt für Digitalisierung, Breitband und Vermessung Miesbach<br>Münchner Straße 1<br>83714 Miesbach
845f15c9-7eb0-4ad3-8f71-f024ffba621a;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Amt für Digitalisierung, Breitband und Vermessung Mühldorf a.Inn, Stadtplatz 48, 84453 Mühldorf a.Inn;Amt für Digitalisierung, Breitband und Vermessung Mühldorf a.Inn;Stadtplatz;48;84453;Mühldorf a.Inn;<h3>Abrufberechtigter: </h3><p>Amt für Digitalisierung, Breitband und Vermessung Mühldorf a.Inn<br>Stadtplatz 48<br>84453 Mühldorf a.Inn
4d70de28-74b0-4d43-a599-1fe336f2cb6d;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Amt für Digitalisierung, Breitband und Vermessung München, Prinzregentenstraße 5, 80538 München;Amt für Digitalisierung, Breitband und Vermessung München;Prinzregentenstraße;5;80538;München;<h3>Abrufberechtigter: </h3><p>Amt für Digitalisierung, Breitband und Vermessung München<br>Prinzregentenstraße 5<br>80538 München
687bf5ab-3fd0-4783-8620-3e8687afb55b;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Amt für Digitalisierung, Breitband und Vermessung Nabburg, Obertor 12, 92507 Nabburg;Amt für Digitalisierung, Breitband und Vermessung Nabburg;Obertor;12;92507;Nabburg;<h3>Abrufberechtigter: </h3><p>Amt für Digitalisierung, Breitband und Vermessung Nabburg<br>Obertor 12<br>92507 Nabburg
39df4836-a138-4a71-a012-48c22daa9ec8;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Amt für Digitalisierung, Breitband und Vermessung Neumarkt i.d.OPf., Woffenbacher Straße 32, 92318 Neumarkt i.d.OPf.;Amt für Digitalisierung, Breitband und Vermessung Neumarkt i.d.OPf.;Woffenbacher Straße;32;92318;Neumarkt i.d.OPf.;<h3>Abrufberechtigter: </h3><p>Amt für Digitalisierung, Breitband und Vermessung Neumarkt i.d.OPf.<br>Woffenbacher Straße 32<br>92318 Neumarkt i.d.OPf.
6931f8e1-14b5-44d5-91df-0849dbd7123a;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Amt für Digitalisierung, Breitband und Vermessung Neustadt a.d.Aisch, Parkstraße 10, 91413 Neustadt a.d.Aisch;Amt für Digitalisierung, Breitband und Vermessung Neustadt a.d.Aisch;Parkstraße;10;91413;Neustadt a.d.Aisch;<h3>Abrufberechtigter: </h3><p>Amt für Digitalisierung, Breitband und Vermessung Neustadt a.d.Aisch<br>Parkstraße 10<br>91413 Neustadt a.d.Aisch
a4e8fe8c-2ad5-4794-92c0-8c58a52817e8;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Amt für Digitalisierung, Breitband und Vermessung Nürnberg, Flaschenhofstraße 59, 90402 Nürnberg;Amt für Digitalisierung, Breitband und Vermessung Nürnberg;Flaschenhofstraße;59;90402;Nürnberg;<h3>Abrufberechtigter: </h3><p>Amt für Digitalisierung, Breitband und Vermessung Nürnberg<br>Flaschenhofstraße 59<br>90402 Nürnberg
dd2577de-2afc-4d4d-87bb-7964122d5515;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Amt für Digitalisierung, Breitband und Vermessung Pfaffenhofen a.d.Ilm, Kellerstraße 6, 85276 Pfaffenhofen a.d.Ilm;Amt für Digitalisierung, Breitband und Vermessung Pfaffenhofen a.d.Ilm;Kellerstraße;6;85276;Pfaffenhofen a.d.Ilm;<h3>Abrufberechtigter: </h3><p>Amt für Digitalisierung, Breitband und Vermessung Pfaffenhofen a.d.Ilm<br>Kellerstraße 6<br>85276 Pfaffenhofen a.d.Ilm
db2fd057-c0bf-454a-a990-97d860e1bb89;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Amt für Digitalisierung, Breitband und Vermessung Pfarrkirchen, Rennbahnstraße 9, 84347 Pfarrkirchen;Amt für Digitalisierung, Breitband und Vermessung Pfarrkirchen;Rennbahnstraße;9;84347;Pfarrkirchen;<h3>Abrufberechtigter: </h3><p>Amt für Digitalisierung, Breitband und Vermessung Pfarrkirchen<br>Rennbahnstraße 9<br>84347 Pfarrkirchen
30f5df77-0ebc-410e-bea9-69d3f90b4cc0;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Amt für Digitalisierung, Breitband und Vermessung Regensburg, Franziskanerplatz 10, 93059 Regensburg;Amt für Digitalisierung, Breitband und Vermessung Regensburg;Franziskanerplatz;10;93059;Regensburg;<h3>Abrufberechtigter: </h3><p>Amt für Digitalisierung, Breitband und Vermessung Regensburg<br>Franziskanerplatz 10<br>93059 Regensburg
2bb7b683-ad08-420c-8b34-de5b019013c1;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Amt für Digitalisierung, Breitband und Vermessung Rosenheim, Münchener Straße 23, 83022 Rosenheim;Amt für Digitalisierung, Breitband und Vermessung Rosenheim;Münchener Straße;23;83022;Rosenheim;<h3>Abrufberechtigter: </h3><p>Amt für Digitalisierung, Breitband und Vermessung Rosenheim<br>Münchener Straße 23<br>83022 Rosenheim
6966135c-3292-4606-a844-fdfa463cf9d8;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Amt für Digitalisierung, Breitband und Vermessung Schwabach, Theodor-Heuss-Straße 61, 91126 Schwabach;Amt für Digitalisierung, Breitband und Vermessung Schwabach;Theodor-Heuss-Straße;61;91126;Schwabach;<h3>Abrufberechtigter: </h3><p>Amt für Digitalisierung, Breitband und Vermessung Schwabach<br>Theodor-Heuss-Straße 61<br>91126 Schwabach
4b7089df-be43-4c10-9906-b8dd96469e95;Gruppe 1, gem. §4 Abs 4 Punkt 1 RV;Amt für Digitalisierung, Breitband und Vermessung Schweinfurt, Mainberger Straße 14, 97422 Schweinfurt;Amt für Digitalisierung, Breitband und Vermessung Schweinfurt;Mainberger Straße;14;97422;Schweinfurt;<h3>Abrufberechtigter: </h3><p>Amt für Digitalisierung, Breitband und Vermessung Schweinfurt<br>Mainberger Straße 14<br>97422 Schweinfurt
